Camara,Nome,Partido
Fundao,Maria Rosa Norberto Moreira,PS
Fundao,Miguel Alexandre Trigueiros Fernandes Covas,PS
Fundao,Marina Claudia de Melo Alegria Nascimento,PS
Fundao,Luis Miguel Francisco Batista,PS
Fundao,Paula Maria Rodrigues Milheiro,PS
Fundao,Tiago Soares Monteiro,PS
Fundao,Mariana Serra Morgadinho,PS
Fundao,Cristina Maria Borges dos Santos da Silva Guedes,BE
Fundao,Pedro Filipe Borges Fernandes Mesquita,BE
Fundao,Guilherme Blazquez Freches,PCP-PEV
Fundao,Daniel Barros da Cruz,MIPA
Fundao,Helder Jose Alves Marrucho dos Santos,UPA
Fundao,Joao Nuno Ribeiro Rodrigues,UPA
Fundao,Maria Isabel Lourenco Justino,PS
Fundao,Fernando Amadeu Simoes Dias Barata,PPD/PSD
Fundao,Ernesto Reis Antunes,PPD/PSD
Fundao,Vitor Manuel Alves Fernandes,CPT
Fundao,Paulo Jorge Amador Infante,MIPFC
Fundao,Maria de Jesus Salvado Goncalves Abelho,iCN
Fundao,Diogo Martins Jacob,MIPM
Fundao,Paulo Alexandre Fernandes Barbosa,PL
Fundao,Maria da Ressurreicao Antunes Mesquita Saraiva,PPD/PSD
Fundao,Pedro Miguel Louro Mesquita,MIPP
Fundao,Claudia Patricia Costa Pereira,PS
Fundao,Helder Carvalho Salvado,PPD/PSD
Fundao,Maria das Dores Santos Ladeira Filipe Figueira,PPD/PSD
Fundao,Paulo Jorge Gabriel Marques,PPD/PSD
Fundao,Fatima Goncalves Oliveirinha,PE
Fundao,Luis Manuel Antunes Cerdeira,PPTP
Fundao,Mario Jorge Gomes Dias,MAIS
Fundao,Manuel Malicia da Trindade,DAR
Fundao,Rui Alberto Oliveira Domingues,PPD/PSD
Fundao,Jose Manuel Nogueira da Silva,PUFC
Guimaraes,Domingos Braganca Salgado,PS
Guimaraes,Adelina Paula Mendes Pinto,PS
Guimaraes,Paulo Rui Lopes Pereira da Silva,PS
Guimaraes,Paula Cristina dos Santos Oliveira,PS
Guimaraes,Nelson Jose Guimaraes Felgueiras,PS
Guimaraes,Alice Sofia de Freitas Soares Ferreira Fernandes,PS
Guimaraes,Ana Maria Prego de Faria Berkeley Cotter,PS
Guimaraes,Bruno Alberto Vieira Fernandes,PPD/PSD.CDS-PP
Guimaraes,Ricardo Jose Machado Pereira da Silva Araujo,PPD/PSD.CDS-PP
Guimaraes,Vania Carvalho Dias da Silva de Antas de Barros,PPD/PSD.CDS-PP
Guimaraes,Hugo Miguel Alves Ribeiro,PPD/PSD.CDS-PP
Guimaraes,Jose Joao Torrinha Martins Bastos,PS
Guimaraes,Andre Guimaraes Coelho Lima,PPD/PSD.CDS-PP
Guimaraes,Sonia Ermelinda Matos da Silva Fertuzinhos,PS
Guimaraes,Alexandre Nuno Vaz Batista de Vieira e Brito,PPD/PSD.CDS-PP
Guimaraes,Pedro Miguel Guimaraes Marques da Cunha,PS
Guimaraes,Armindo Jose Ferreira da Costa e Silva,PS
Guimaraes,Ana Paula Cardoso Lemos Damiao,PPD/PSD.CDS-PP
Guimaraes,Maria de Jesus Teixeira de Carvalho,PS
Guimaraes,Emidio Guerreiro,PPD/PSD.CDS-PP
Guimaraes,Hugo Francisco Monteiro Teixeira,PS
Guimaraes,Cesar Nuno da Costa Teixeira,PPD/PSD.CDS-PP
Guimaraes,Jose Manuel Nogueira Teixeira Bastos,PS
Guimaraes,Jose Manuel Torcato Ribeiro,PCP-PEV
Guimaraes,Maria da Conceicao da Cunha e Castro,PS
Guimaraes,Teresa Maria Esquivel Sequeira Braga Costa Faria,PPD/PSD.CDS-PP
Guimaraes,Cesar Manuel de Castro Machado,PS
Guimaraes,Andre Faria Ferreira,PPD/PSD.CDS-PP
Guimaraes,Pedro Miguel Vilhena Abreu Roque de Figueiredo,PS
Guimaraes,Carlos Jorge Caneja Amorim,PPD/PSD.CDS-PP
Guimaraes,Susana Gabriela Meireles Campos Nunes,PS
Guimaraes,Jorge Manuel Costa Nunes,PS
Guimaraes,Ana Margarida da Costa Teixeira,PPD/PSD.CDS-PP
Guimaraes,Andre Filipe Mendes de Castro Almeida,CH
Guimaraes,Hugo Maciel Tavares de Freitas,PS
Guimaraes,Tiago Vieira Laranjeiro,PPD/PSD.CDS-PP
Guimaraes,Elsa Cristina Silva Ribeiro,PS
Guimaraes,Augusto Rafael Capela Duarte,PS
Guimaraes,Andre Filipe de Castro e Sousa Casalta,PPD/PSD.CDS-PP
Guimaraes,Ines Alves Rodrigues,PCP-PEV
Guimaraes,Sonia Cristina Patrocinio Goncalo Ribeiro,BE
Guimaraes,Carlos Alexandre Lopes Rodrigues Ribeiro,PS
Guimaraes,Ana Sofia Rodrigues Teixeira,PPD/PSD.CDS-PP
Guimaraes,Maria Joaquina Oliveira Antunes,PS
Guimaraes,Paulo Miguel Lima Peixoto,PPD/PSD.CDS-PP
Guimaraes,David Jose Goncalves Faria,PS
Guimaraes,Joao Manuel Fernandes da Silva Ribeiro,PS
Guimaraes,Manuel Jose Araujo Ribeiro,PPD/PSD.CDS-PP
Guimaraes,Elvira Matos da Silva Fertuzinhos,PS
Guimaraes,Margarida Pinheiro Pereira,PPD/PSD.CDS-PP
Guimaraes,Alberto Manuel Goncalves Mota,PS
Guimaraes,Rui Armindo da Costa Freitas,PPD/PSD.CDS-PP
Guimaraes,Pedro Miguel Teixeira Pereira Santos,IL
Guimaraes,Vasco Manuel Azevedo Marques,PS
Guimaraes,Celia Maria de Abreu Magalhaes,PCP-PEV
Guimaraes,Alexandra Santos Goncalves Ferreira,PS
Guimaraes,Joao Paulo Serra Salazar,PPD/PSD.CDS-PP
Guimaraes,Pedro Manuel da Silva Mendes,PS
Guimaraes,Isabel Filipa de lemos Moreira Leite,PPD/PSD.CDS-PP
